business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to floriculture production.,2041.21,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to sugarcane farming.,10609.09,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to cotton farming.,38490.25,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to sheep farming.,43528.79,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to berry (except strawberry) farming.,17564.98,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other food crops grown under cover.,7618.5,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to fruit and tree nut combination farming.,43789.86,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to horses and other equine production.,21525.07,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to all other animal production.,21601.12,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to horses and other equine production.,17123.37,FreshFields,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to ter enut farming.,18547.26,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to soybean farming.,46436.35,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed (except soybean) farming.,45013.99,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to floriculture production.,32197.74,FreshFields,Procured for floriculture production operations.,Floriculture Production
es.lirtr ercoe t pslacpitvt iehAdadao,4065.76,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to corn farming.,34183.46,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities relatef to wheat farmig.,25571.75,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to sheep farming.,15233.59,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to fur-bearing animal and rabbit production.,16327.71,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to grape vineyards.,10917.44,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to potato farming.,42153.4,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to beef cattle ranching and farming.,11887.69,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to nursery anf ree prpduction.,20718.32,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to apple orchards.,3977.89,EcoFarms,Procured for apple orchards operations.,Apple Orchards
sn.trecviealiAd  vatdey ogt satrpiieer,17358.1,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to other poultry production.,19822.61,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to chicken egg production.,29023.02,AgriCorp,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to broilers and other meat type chicken production.,40421.7,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other noncitrus fruit farming.,16805.2,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
igdd t aarl noseocriifngi  be intvntitomo nrdciitlsmaA.eeaea,32682.88,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to hog and pig farming.,33997.27,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to strawberry farming.,32392.47,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to nursery and tree production.,3828.07,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Irrelevant text vrAule ddttiit ltreoceofprnsiar tctio eiolcuu.,49177.14,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to hog and pig farming.,22041.02,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to soybean farming.,38560.75,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to other food crops grown under cover.,25659.23,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Irrelevant text eo ildApiy circk oetntotuvue.tadir tstre,35614.96,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to floriculture production.,11478.7,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to apiculture.,4545.1,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to soybean farming.,2495.23,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to other aquaculture.,12534.4,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to nursery and tree production.,16374.74,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to mushroom production.,40596.04,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to cotton farming.,4878.98,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to all other animal production.,2852.36,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities relate dto finfish farming and fihs hatcheries.,44911.26,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to horses and other equine production.,27870.64,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to berry (except strawberry) farming.,39847.23,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to all other animal production.,26618.55,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to other aquaculture.,10959.15,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to hay farming.,41497.48,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to broilers and other meat type chicken production.,30307.75,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to apple orchards.,34339.92,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to tobacco farming.,6641.67,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to broilers and other meat type chicken production.,3715.53,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to corn farming.,18124.83,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to grape vineyards.,38450.56,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to apiculture.,33319.74,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to turkey production.,25286.63,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to peanut farming.,4711.74,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to other aquaculture.,27973.96,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to other vegetable (except potato) and melon farming.,15379.57,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to berry (except strawberry) farming.,23765.09,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to tobacco farming.,12562.89,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to othrr poultry produion.,13350.84,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to other aquaculture.,16836.82,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Irrelevant text eeasi erlnvauoo ltc trp ght.leeifAnolrlcriidittmaassem   co,21872.48,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related tob roilets and other meat type chicken production.,31580.25,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to dry pea and bean farming.,17486.21,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Actovities related to cattle feedlost.,13204.35,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to tree nut farming.,27335.89,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to tobacco farming.,11212.42,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to hog and pig farming.,6510.14,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to berry (except strawberry) farming.,13872.32,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to fur-bearing animal and rabbit production.,43879.33,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to dual-purpose cattle ranching and farming.,48771.31,EcoFarms,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to all other animal production.,44136.01,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to apiculture.,43060.08,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to apple orchards.,44069.53,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to peanut farming.,19647.34,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to shellfish farming.,13843.47,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other food crops grown under cover.,31482.59,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to apple orchards.,29802.53,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to broilers and other meat type chicken production.,11799.7,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other aquaculture.,26954.21,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to finfish farming and fish hatcheries.,33889.37,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to horses and other equine production.,34949.93,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to citrus (except orange) groves.,40010.05,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to fruit and tree nut combination farming.,30223.6,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to all other grain farming.,15030.01,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to sugarcane farming.,37088.8,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to peanut farming.,35293.8,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to nursery and tree production.,39785.13,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activties reated totobacco farming.,7848.64,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to potato farming.,16164.02,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to shellfish farming.,7798.44,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to hay farming.,42226.41,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to oilseed (except soybean) farming.,38155.05,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities etated to cattle feedlots.,19407.19,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,24751.77,FreshFields,Procured for goat farming operations.,Goat Farming
Activiteis relatedt o apple orchards.,49811.89,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to other noncitrus fruit farming.,44620.71,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to horses and other equine production.,8746.56,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to other food crops grown under cover.,26107.24,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities relaed to got fatming.,49604.3,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to dual-purpose cattle ranching and farming.,41685.22,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to oilseed and grain combination farming.,15535.71,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to fruit and tree nut combination farming.,40805.4,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to soybean farming.,48249.45,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to strawberry farming.,34699.35,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to citrus (except orange) groves.,44527.08,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to tree nut farming.,8218.32,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to broilers and other meat type chicken production.,43710.35,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to orange groves.,9306.98,FreshFields,Procured for orange groves operations.,Orange Groves
n  ioc imhtlAegd.eettat wsvaraefriit,15852.08,CropGen,Procured for wheat farming operations.,Wheat Farming
eeAvegn itpy.tslrastacri ed it eaodvir,1374.56,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to hay farming.,38827.68,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to finfish farming and fish hatcheries.,25646.52,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to beef cattle ranching and farming.,35641.35,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to poultry hatcheries.,41259.47,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to tree nut farming.,42057.13,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,16555.56,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to citrus (except orange) groves.,13197.93,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to orange groves.,21123.97,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to wheat farming.,27498.63,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to oilseed (except soybean) farming.,46076.03,BioHarvest,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to citrus (except orange) groves.,37563.25,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to dry pae anf bean farming.,16462.18,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to apple orchards.,32496.06,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to hay farming.,36243.3,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to soybean farming.,32375.33,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Acivities related to wheat arming.,35932.06,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to beef cattle ranching and farming.,24565.91,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to wheat farming.,44679.79,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to all other animal production.,47048.33,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to apiculture.,23760.52,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to beef cattle ranching and farming.,4709.08,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to finfish farming and fish hatcheries.,49178.77,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to broilers and other meat type chicken production.,11209.58,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to finfish farming and fish hatcheries.,15019.36,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to fruit and tree nut combination farming.,13154.06,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to dual-purpose cattle ranching and farming.,44431.63,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to musrpom production.,32350.59,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to wheat farming.,9846.14,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to berry (except strawberry) farming.,38272.57,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activtiies elated to soybean farming.,36401.12,FreshFields,Procured for soybean farming operations.,Soybean Farming
vdroeitA sees.eatlvaitrryci edpiat n g,23310.12,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to oilseed and grain combination farming.,35145.9,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to finfish farming and fish hatcheries.,34433.8,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed and grain combination farming.,37338.62,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to all other animal production.,37444.04,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to dairy cattle and milk production.,13566.49,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to all other animal production.,20171.59,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to hay farming.,2888.1,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to peanut farming.,18002.18,BioHarvest,Procured for peanut farming operations.,Peanut Farming
A efls ina .coitegtttiogavmr aetrdi,46985.63,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to sheep farming.,44919.0,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to orange groves.,38385.01,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to other noncitrus fruit farming.,49019.46,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to sugarcane farming.,24196.09,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to fur-bearing animal and rabbit production.,7059.62,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
c lvt tiitaAueilci eertedtpous.ra,7639.39,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to goat farming.,22850.49,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to fur-bearing animal and rabbit production.,41454.03,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to horses and other equine production.,29064.09,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to berry (except strawberry) farming.,5115.35,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to hog and pig farming.,3648.82,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to sugarcane farming.,38543.59,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to sugarcane farming.,35806.99,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to rice farming.,27951.57,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to hay farming.,13189.58,EcoFarms,Procured for hay farming operations.,Hay Farming
ugpo r id icvro dltcnheneiiecet.oktteA aisgtc,41178.1,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to grape vineyards.,14257.0,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to dry pea and bean farming.,2772.0,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to tobacco farming.,8679.52,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to sugarcane farming.,38502.96,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities relaetd ott obacco farming.,20798.0,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tobacco farming.,30419.33,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to fur-bearing animal and rabbit production.,35390.88,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities erlated to hg and pig farming.,44091.25,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to other poultry production.,12030.43,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to corn farming.,13934.16,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to cotton farming.,9230.53,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities relatef to suagr beetfarming.,36707.08,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to broilers and other meat type chicken production.,23497.41,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
rgrsdfaantesritt mav  Aegtui iolbcite .ee,25324.39,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to wheat farming.,15587.08,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to tobacco farming.,12565.35,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to strawberry farming.,25726.28,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to shellfish farming.,27698.89,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dry pea and bean farming.,15177.59,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to poultry hatcheries.,8614.23,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Irrelevant text fneem vtaicsrgteirA dlirgc aust.eaiotna ,14704.8,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to berry (except strawberry) farming.,21701.0,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to mushroom production.,12965.52,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to mushroom production.,41557.21,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to grape vineyards.,40750.76,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to dairy cattle and milk production.,26493.65,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activitiea related o peanut farming.,6219.01,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to tobacco farming.,36456.11,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to shellfish farming.,9135.7,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to rice farming.,22978.79,EcoFarms,Procured for rice farming operations.,Rice Farming
Irrelevant text A t)r rvoeoieott vxr atglstiidcepiss ea.ngcrtecu (ee,37548.15,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to orange groves.,45444.99,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to citrus (except orange) groves.,46147.44,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to fruit and tree nut combination farming.,18652.85,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to floriculture production.,46505.32,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Activities related to turkey production.,45607.28,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to shellfish farming.,17449.76,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to all other grain farming.,36127.12,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to nursery and tree production.,29945.76,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to all other aimla production.,9115.68,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to tree nut farming.,39589.85,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dairy cattle and milk production.,46452.77,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to dairy cattle and milk production.,7077.79,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to sugar beet farming.,36493.99,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to peanut farming.,26171.05,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to dual-purpose cattle ranching and farming.,1089.86,EcoFarms,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to tobacco farming.,43956.1,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to all other grain farming.,35136.56,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to mushroom production.,31636.81,EcoFarms,Procured for mushroom production operations.,Mushroom Production
Activities related to apple orchards.,46400.57,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to poultry hatcheries.,45781.16,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activtiies related ot goat farmin.,20090.14,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to goat farming.,40167.92,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to apple orchards.,18339.35,CropGen,Procured for apple orchards operations.,Apple Orchards
  vfs Aoneryadhili.attetatcrieg im,19591.87,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to hay farming.,9852.54,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to peanut farming.,43689.45,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Irrelevant text tttrfihetiiitei odunu gefrrlsimeasrv.Atoc non r ca t,37662.63,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to shellfish farming.,19283.87,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dual-purpose cattle ranching and farming.,39442.58,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other food crops grown under cover.,9660.24,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other food crops grown under cover.,8620.59,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Acivities elatedto sheep farming.,25977.66,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to hog and pig farming.,43953.07,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to oilseed and grain combination farming.,26002.21,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to wheat farming.,18749.36,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to oilseed and grain combination farming.,1928.45,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to dry pea and bean farming.,28763.87,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other miscellaneous crop farming.,31841.55,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to broilers and other meat type chicken production.,33797.6,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to sugar beet farming.,13349.06,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to dual-purpose cattle ranching and farming.,14745.63,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to shellfish farming.,12147.09,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to goat farming.,13586.93,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to dual-purpose cattle ranching and farming.,16767.52,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to orange groves.,49408.19,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to beef cattle ranching and farming.,40633.99,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to tobacco farming.,43365.99,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tobacco farming.,34114.29,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Acivities related to horses snd other equine poduction.,32917.19,FreshFields,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to sugarcane farming.,42164.28,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to shellfish farming.,22387.79,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other noncitrus fruit farming.,49650.73,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to horses and other equine production.,17934.63,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to cotton farming.,16501.69,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to soybean farming.,30820.67,BioHarvest,Procured for soybean farming operations.,Soybean Farming
